Tara Hernandez;contratado
Gregory Walsh;nombramiento
Kevin Page;nombramiento
Julio Alvarez;contratado
Maria Encalada;nombramiento
Samuel Pardo;nombramiento
Julio Alvarez-contratado
Maria Encalada-nombramiento
Samuel Pardo-nombramiento
Julio Alvarez;contratado
Maria Encalada;nombramiento
Samuel Pardo;nombramiento
Julio Alvarez;contratado
Maria Encalada;nombramiento
Samuel Pardo;nombramiento
Julio Alvarez;contratado
Maria Encalada;nombramiento
Samuel Pardo;nombramiento
Julio Alvarez*contratado
Maria Encalada*nombramiento
Samuel Pardo*nombramiento
Julio Alvarez;contratado
Maria Encalada;nombramiento
Samuel Pardo;nombramiento
